"idCliente","Nome","Tipo","Media de Alunos","Classificacao","idCidade"
"2000","CLI100","Escola Secundária","315","B","529"
"2001","CLI101","Universidade Pública","401","C","513"
"2002","CLI102","Escola Fundamental","320","A","503"
"2003","CLI103","Escola Fundamental","493","B","518"
"2004","CLI104","Universidade Privada","445","A","512"
"2005","CLI105","Universidade Pública","479","C","523"
"2006","CLI106","Universidade Pública","345","B","523"
"2007","CLI107","Universidade Privada","467","A","515"
"2008","CLI108","Universidade Privada","365","B","508"
"2009","CLI109","Escola Fundamental","413","A","524"
"2010","CLI110","Escola Secundária","363","B","528"
"2011","CLI111","Escola Fundamental","371","B","514"
"2012","CLI112","Universidade Pública","433","B","500"
"2013","CLI113","Universidade Privada","493","A","530"
"2014","CLI114","Escola Fundamental","436","A","513"
"2015","CLI115","Escola Secundária","412","C","522"
"2016","CLI116","Universidade Privada","337","D","520"
"2017","CLI117","Universidade Pública","351","D","517"
"2018","CLI118","Universidade Pública","450","D","509"
"2019","CLI119","Escola Secundária","488","A","530"
"2020","CLI120","Universidade Privada","303","D","501"
"2021","CLI121","Escola Secundária","302","B","521"
"2022","CLI122","Universidade Pública","446","C","521"
"2023","CLI123","Escola Secundária","460","C","508"
"2024","CLI124","Universidade Pública","441","B","511"
"2025","CLI125","Universidade Pública","459","C","528"
"2026","CLI126","Universidade Pública","331","A","529"
"2027","CLI127","Escola Secundária","410","D","517"
"2028","CLI128","Universidade Pública","308","D","527"
"2029","CLI129","Escola Fundamental","496","D","507"
"2030","CLI130","Universidade Privada","411","C","501"
"2031","CLI131","Universidade Privada","367","C","531"
"2032","CLI132","Universidade Pública","441","C","508"
"2033","CLI133","Universidade Pública","308","C","504"
"2034","CLI134","Escola Fundamental","399","A","530"
"2035","CLI135","Universidade Privada","462","D","530"
"2036","CLI136","Escola Fundamental","350","C","523"
"2037","CLI137","Universidade Privada","491","A","511"
"2038","CLI138","Escola Secundária","314","B","528"
"2039","CLI139","Escola Fundamental","335","B","532"
"2040","CLI140","Escola Secundária","377","D","504"
"2041","CLI141","Universidade Pública","455","C","530"
"2042","CLI142","Escola Secundária","463","A","518"
"2043","CLI143","Universidade Privada","333","B","509"
"2044","CLI144","Universidade Pública","316","D","505"
"2045","CLI145","Universidade Privada","358","D","533"
"2046","CLI146","Universidade Privada","345","D","517"
"2047","CLI147","Escola Secundária","415","C","517"
"2048","CLI148","Escola Secundária","476","B","506"
"2049","CLI149","Universidade Pública","387","D","515"
"2050","CLI150","Universidade Privada","466","B","505"
"2051","CLI151","Escola Fundamental","429","A","505"
"2052","CLI152","Universidade Privada","476","C","507"
"2053","CLI153","Universidade Pública","463","D","504"
"2054","CLI154","Escola Fundamental","500","D","523"
"2055","CLI155","Escola Fundamental","488","A","510"
"2056","CLI156","Universidade Pública","398","A","526"
"2057","CLI157","Universidade Pública","393","B","501"
"2058","CLI158","Escola Fundamental","398","A","530"
"2059","CLI159","Universidade Privada","383","C","527"
"2060","CLI160","Escola Secundária","445","C","530"
"2061","CLI161","Universidade Pública","415","B","525"
"2062","CLI162","Universidade Pública","423","A","528"
"2063","CLI163","Escola Fundamental","451","C","520"
"2064","CLI164","Universidade Privada","485","A","517"
"2065","CLI165","Universidade Privada","490","C","507"
"2066","CLI166","Universidade Pública","314","D","503"
"2067","CLI167","Universidade Pública","462","B","502"
"2068","CLI168","Universidade Privada","365","A","525"
"2069","CLI169","Universidade Privada","316","B","513"
"2070","CLI170","Escola Fundamental","459","A","502"
"2071","CLI171","Escola Secundária","418","C","502"
"2072","CLI172","Universidade Pública","409","D","529"
"2073","CLI173","Universidade Privada","304","D","502"
"2074","CLI174","Universidade Pública","365","D","532"
"2075","CLI175","Universidade Privada","340","D","506"
"2076","CLI176","Escola Secundária","485","A","503"
"2077","CLI177","Universidade Pública","408","D","531"
"2078","CLI178","Universidade Privada","484","A","506"
"2079","CLI179","Universidade Privada","492","B","504"
"2080","CLI180","Escola Fundamental","393","B","527"
"2081","CLI181","Escola Secundária","340","D","532"
"2082","CLI182","Escola Secundária","434","D","524"
"2083","CLI183","Universidade Pública","378","C","521"
"2084","CLI184","Universidade Privada","363","C","530"
"2085","CLI185","Escola Secundária","304","C","531"
"2086","CLI186","Universidade Pública","339","C","530"
"2087","CLI187","Escola Secundária","301","C","517"
"2088","CLI188","Escola Fundamental","320","B","524"
"2089","CLI189","Universidade Privada","485","C","503"
"2090","CLI190","Universidade Pública","425","D","529"
"2091","CLI191","Escola Secundária","378","B","533"
"2092","CLI192","Escola Fundamental","428","D","500"
"2093","CLI193","Escola Secundária","394","B","503"
"2094","CLI194","Escola Fundamental","470","B","519"
"2095","CLI195","Universidade Pública","412","C","504"
"2096","CLI196","Escola Secundária","470","A","522"
"2097","CLI197","Escola Fundamental","330","C","533"
"2098","CLI198","Escola Secundária","464","C","505"
"2099","CLI199","Universidade Privada","458","B","502"
"2100","CLI200","Escola Fundamental","455","A","526"
"2101","CLI201","Universidade Pública","483","C","530"
"2102","CLI202","Escola Fundamental","392","C","504"
"2103","CLI203","Escola Secundária","389","B","506"
"2104","CLI204","Escola Fundamental","343","B","504"
"2105","CLI205","Universidade Pública","437","D","529"
"2106","CLI206","Universidade Pública","485","B","521"
"2107","CLI207","Escola Secundária","500","B","506"
"2108","CLI208","Escola Fundamental","397","B","522"
"2109","CLI209","Universidade Privada","380","D","531"
"2110","CLI210","Escola Secundária","364","C","509"
"2111","CLI211","Escola Secundária","312","D","521"
"2112","CLI212","Universidade Pública","302","D","517"
"2113","CLI213","Universidade Privada","345","A","529"
"2114","CLI214","Escola Fundamental","400","A","521"
"2115","CLI215","Universidade Pública","455","D","515"
"2116","CLI216","Universidade Pública","377","B","508"
"2117","CLI217","Escola Secundária","486","B","514"
"2118","CLI218","Escola Fundamental","355","B","518"
"2119","CLI219","Escola Secundária","437","C","525"
"2120","CLI220","Escola Fundamental","453","D","530"
"2121","CLI221","Escola Fundamental","382","C","520"
"2122","CLI222","Escola Secundária","321","A","503"
"2123","CLI223","Universidade Privada","446","B","511"
"2124","CLI224","Escola Fundamental","335","C","523"
"2125","CLI225","Universidade Pública","467","A","521"
"2126","CLI226","Universidade Privada","435","D","523"
"2127","CLI227","Escola Fundamental","438","B","513"
"2128","CLI228","Universidade Privada","484","C","523"
"2129","CLI229","Universidade Pública","356","C","525"
"2130","CLI230","Universidade Privada","497","B","514"
"2131","CLI231","Universidade Pública","497","D","533"
"2132","CLI232","Escola Fundamental","381","C","506"
"2133","CLI233","Universidade Privada","399","B","532"
"2134","CLI234","Escola Secundária","399","C","510"
"2135","CLI235","Universidade Pública","355","C","525"
"2136","CLI236","Escola Secundária","466","C","506"
"2137","CLI237","Escola Secundária","402","A","513"
"2138","CLI238","Escola Secundária","430","B","514"
"2139","CLI239","Escola Fundamental","356","B","519"
"2140","CLI240","Universidade Privada","315","B","507"
"2141","CLI241","Universidade Privada","307","B","512"
"2142","CLI242","Universidade Pública","398","D","522"
"2143","CLI243","Escola Fundamental","307","B","525"
"2144","CLI244","Escola Secundária","325","A","523"
"2145","CLI245","Escola Secundária","328","B","524"
"2146","CLI246","Escola Secundária","485","D","503"
"2147","CLI247","Escola Secundária","443","C","509"
"2148","CLI248","Universidade Privada","300","A","529"
